name,hex,rgb,cmyk,description
Imperial Red,#ED2939,"(237, 41, 57)","(0, 83, 76, 7)","['This red shade is a warm, watermelon color. It is perfect for cookbook advertising and retro graphic design. It is also bright enough for use as the main color scheme.']"
Scarlet,#FF2400,"(255, 36, 0)","(0, 86, 100, 0)","['This bright, orange-red hue evokes feelings of new bikes and bright, wooden toys.']"
Indian Red,#CD5C5C,"(205, 92, 92)","(0, 55, 55, 20)","['This is a nice, cool, clay color. The light tones give it a sandy feel. The cool undertones make it feel appropriate for interior decorating.']"
Barn Red,#7C0A02,"(124, 10, 2)","(0, 92, 98, 51)","['This deep, rusty, red-brown color is perfect for old barns and modern high-heeled shoes. The warm, earthy tones pair well with orange and terracotta. The dark shade really pops as a background color.']"
Chili Red,#C21807,"(194, 24, 7)","(0, 88, 96, 24)",[]
Ruby,#E0115F,"(224, 17, 95)","(0, 92, 58, 12)",['This bright fuchsia pink is perfect for websites about women or for professional network marketing sites aimed at wives and mothers. This bold rose color is both bright and softly feminine. Pair it with pale pink or black polka dots.']
Maroon,#800000,"(128, 0, 0)","(0, 100, 100, 50)","['This deep, warm red is perfect for fireplaces, beauty sites, and professional legal services. This is a classic color, and it works well as a background color. Accent it with gold and black to complement a professional musician’s site.']"
Fire Brick,#B22222,"(178, 34, 34)","(0, 81, 81, 30)","['This is a somewhat light red in warm tones. It’s a great accent color, and it works well to complement browns, tans, and other neutrals.']"
Redwood,#A45A52,"(164, 90, 82)","(0, 45, 50, 36)","['This color is mostly grayscale with just enough red to make it pop. If it was paired with a true gray, the red in it would stand out. Next to our other reds, however, it feels pretty neutral.']"
Carmine,#960018,"(150, 0, 24)","(0, 100, 84, 41)","['This is a beautiful, deep, rose red color. The blue undertones make it a cool-toned red, and the deep rose hue makes it perfect for women’s products.']"
