colorName,hexCode,,r,g,b,rgb,Max RGB,Min RGB,Delta,MAX channel,H,S,L,HSL,C,M,Y,K,CMYK,description
  utah crimson, #D3003F,,211,0,63,"(211, 0, 63)",211,0,211,red,342.0853,1.0096,105.5,"(342.085, 1.0096, 105.5)",209,2,1,210,"(209, 2, 1, 210)",
  amber (dark), #893101,,137,49,1,"(137, 49, 1)",137,1,136,red,21.1765,1.0000,69,"(21.176, 1.0000, 69)",135,47,1,136,"(135, 47, 1, 136)", // shades on
  burnt umber, #8A3324,,138,51,36,"(138, 51, 36)",138,36,102,red,8.8235,0.5930,87,"(8.824, 0.5930, 87)",0,63,74,46,"(0, 63, 74, 46)","Burnt umber is a rich, brownish orange shade named after the natural pigment umber that is comprised of iron oxide and manganese oxide."
  golden gate bridge orange, #C0362C,,192,54,44,"(192, 54, 44)",192,44,148,red,4.0541,0.6325,118,"(4.054, 0.6325, 118)",0,72,77,25,"(0, 72, 77, 25)","The Golden Gate Bridge is one of the most iconic landmarks in the United States, and its distinctive shade of reddish orange helps it stand out against the foggy San Francisco skyline. Golden Gate Bridge Orange echoes the strength and the unique identity that the Golden Gate Bridge embodies."
  spice, #7A3803,,122,56,3,"(122, 56, 3)",122,3,119,red,26.7227,0.9675,62.5,"(26.723, 0.9675, 62.5)",120,54,1,121,"(120, 54, 1, 121)",
  browns orange, #FF3C00,,255,60,0,"(255, 60, 0)",255,0,255,red,14.1176,1.0079,127.5,"(14.118, 1.0079, 127.5)",0,76,100,0,"(0, 76, 100, 0)","The Cleveland Browns have long been a staple of Cleveland culture and city pride. Their team colors are brown, gold, and Browns Orange, this bright and intense shade of orange that represents the team and helps get fans' blood pumping before every big game, no matter where it's being played."
  clay, #80400B,,128,64,11,"(128, 64, 11)",128,11,117,red,27.1795,0.8540,69.5,"(27.179, 0.8540, 69.5)",126,62,1,127,"(126, 62, 1, 127)", // glossy grey
  rust (dark), #8D4004,,141,64,4,"(141, 64, 4)",141,4,137,red,26.2774,0.9580,72.5,"(26.277, 0.9580, 72.5)",139,62,1,140,"(139, 62, 1, 140)", // snow frosty ice glistening
  mahogany orange, #C04000,,192,64,0,"(192, 64, 0)",192,0,192,red,20.0000,1.0105,96,"(20.000, 1.0105, 96)",0,67,100,25,"(0, 67, 100, 25)","Mahogany is a type of wood that has long been prized for its durable grain and its deep, rich color. Mahogany Orange mimics this same color to create a bold, dramatic shade of orange that almost passes for red, echoing the wealth and luxury of mahogany's prized grain."
  rust, #B7410E,,183,65,14,"(183, 65, 14)",183,14,169,red,18.1065,0.8667,98.5,"(18.107, 0.8667, 98.5)",0,64,92,28,"(0, 64, 92, 28)","Rust is an accurately named color. It is close to the color of metal that's significantly rusted. This color is a deep orange that's fairly close to being red. In fact, when you look at its RGB values, Rust is actually 70% red. This color looks great alongside deep green or blue jewel tones, and it's also a great way to make a statement without being garish."
  syracuse orange, #D44500,,212,69,0,"(212, 69, 0)",212,0,212,red,19.5283,1.0095,106,"(19.528, 1.0095, 106)",0,67,100,17,"(0, 67, 100, 17)","They're sometimes referred to as the Syracuse Orangemen, so it should go without saying that one of Syracuse University's official colors is a bold and vibrant shade of orange. Syracuse Orange is a bright and almost dramatic shade that looks fast-paced, lively, and brimming with energy – just like the university's students."
  orange-red, #FF4500,,255,69,0,"(255, 69, 0)",255,0,255,red,16.2353,1.0079,127.5,"(16.235, 1.0079, 127.5)",0,73,100,0,"(0, 73, 100, 0)",Orange-red is a shade of orange that incorporates a high percentage of red. This reddish orange hue is similar to the color of blood oranges.
  dark pastel red, #C34723,,195,71,35,"(195, 71, 35)",195,35,160,red,13.5000,0.7018,115,"(13.500, 0.7018, 115)",0,64,82,24,"(0, 64, 82, 24)","Dark pastel red can be classified as both a red and orange hue. It is a rusty orange red, comparable to a more vibrant version of burnt umber."
  red orange (RAL), #B6481C,,182,72,28,"(182, 72, 28)",182,28,154,red,17.1429,0.7404,105,"(17.143, 0.7404, 105)",0,60,85,29,"(0, 60, 85, 29)","Red Orange is redder than Burnt Orange, similar to Brick Red with just a hint more orange. It has a rust-like quality that makes it pair well with slightly muted versions of blues and greens. It offers a striking contrast when paired with its complementary color, Cyan Cornflower Blue."
  vermilion, #D74826,,215,72,38,"(215, 72, 38)",215,38,177,red,11.5254,0.7052,126.5,"(11.525, 0.7052, 126.5)",0,67,82,16,"(0, 67, 82, 16)","Vermilion, first made from cinnabar, or powdered mercury sulfide, is a brilliant reddish-coral orange."
  flame, #E34A27,,227,74,39,"(227, 74, 39)",227,39,188,red,11.1702,0.7121,133,"(11.170, 0.7121, 133)",0,67,83,11,"(0, 67, 83, 11)","Flame refers to a shade of orange that is bright, warm and vibrant. This color is sometimes used to illustrate fire."
  tangelo, #FC4C02,,252,76,2,"(252, 76, 2)",252,2,250,red,17.7600,0.9921,127,"(17.760, 0.9921, 127)",0,70,99,1,"(0, 70, 99, 1)","Tangelo refers to a deep, rich, reddish orange hue that resembles the skin of a tangelo fruit."
  orioles orange, #FB4F14,,251,79,20,"(251, 79, 20)",251,20,231,red,15.3247,0.8587,135.5,"(15.325, 0.8587, 135.5)",0,69,92,2,"(0, 69, 92, 2)","Orioles orange refers to a medium orange hue with red tones, reminiscent of the color of an oriole's belly. This color is used by the Baltimore Orioles, the Cincinnati Bengals and the Denver Broncos."
  international orange, #FF4F00,,255,79,0,"(255, 79, 0)",255,0,255,red,18.5882,1.0079,127.5,"(18.588, 1.0079, 127.5)",0,69,100,0,"(0, 69, 100, 0)","International orange is a deep, medium orange hue used by the aerospace industry to differentiate certain objects from their backgrounds, surroundings or other objects. It is basically the same color as orange-red with slightly more green in it."
  pantone orange, #FE5000,,254,80,0,"(254, 80, 0)",254,0,254,red,18.8976,1.0079,127,"(18.898, 1.0079, 127)",0,69,100,0,"(0, 69, 100, 0)","Pantone Orange is probably the most ""typically"" orange shade on this list. It takes its name from the Pantone Color Registry, which seeks to classify and organize the hundreds of thousands – if not millions – of different colors, shades, and variations that are found in works of art around the world."
